categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO EN METROBUS SV,2019-09-17 06:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.13662,19.48997,22,Naranja
ROBO EN METROBUS SV,2019-09-28 15:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.12399,19.4873,43,Rojo
ROBO EN METROBUS SV,2019-08-28 07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,PROGRESO NACIONAL,-99.16159,19.51478,6,Verde
ROBO EN METROBUS SV,2019-12-09 07:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA INDUSTRIAL VALLEJO,-99.15679,19.5027,16,Verde
ROBO EN METROBUS SV,2019-09-13 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.10648,19.48227,34,Rojo
ROBO EN METROBUS SV,2019-03-16 09:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VALLEJO PONIENTE,-99.14099,19.467270000000006,-1,Rojo
ROBO EN METROBUS SV,2018-08-21 07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LA LAGUNA TICOMAN,-99.1288707027462,19.5066090957264,7,Verde
ROBO EN METROBUS SV,2018-10-02 08:15:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11943987474041,19.496802892874,50,Rojo
ROBO EN METROBUS SV,2018-09-20 06:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA ATZACOALCO,-99.09416870138521,19.4869575583147,17,Naranja
ROBO EN METROBUS SV,2019-05-30 21:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1256,19.48382,44,Rojo
ROBO EN METROBUS SV,2019-04-25 08:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.12484,19.48645,45,Naranja
ROBO EN METROBUS SV,2019-04-20 09:15:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.12385,19.487370000000002,43,Rojo
ROBO EN METROBUS SV,2019-02-05 09:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,PROVIDENCIA,-99.07531,19.479879999999998,9,Rojo
ROBO EN METROBUS SV,2019-04-30 19:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA VALLEJO,-99.15393,19.49513,18,Rojo
ROBO EN METROBUS SV,2019-06-20 07:15:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN BARTOLO ATEPEHUACAN,-99.14577,19.49329,19,Naranja
ROBO EN METROBUS SV,2019-06-20 19:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.11319,19.48399,30,Naranja
