categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO DE CELULAR CON VIOLENCIA,2017-04-08 15:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN JUAN DE ARAGON IV SECCION,-99.0703790120798,19.4575355150477,35,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-04-04 23:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,TABLAS DE SAN AGUSTIN,-99.1122441734832,19.4639160558728,456,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-04-08 20:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN JUAN DE ARAGON IV SECCION,-99.0682338507032,19.4586852762008,31,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-08-06 19:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ARAGON LA VILLA,-99.1148889917417,19.4796363634022,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-08-07 21:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CASTILLO CHICO,-99.13563533125392,19.542332261627198,113,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-08-02 12:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,MARTIN CARRERA,-99.1043009875173,19.48890851132861,563,Verde
ROBO DE CELULAR CON VIOLENCIA,2017-08-09 07:15:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,AMPLIACION CASAS ALEMAN,-99.0860697744944,19.4772847713027,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-08-08 23:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CASTILLO CHICO,-99.1375365219999,19.5469135638335,186,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-08-10 10:50:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,TEPEYAC INSURGENTES,-99.1184862877295,19.481649565428,692,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-07-27 18:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,BONDOJITO,-99.10730791846909,19.4668184534707,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-05-19 15:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN FELIPE DE JESUS,-99.0748043609738,19.5008778900127,256,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-05-05 14:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ARAGON LA VILLA,-99.11416299954399,19.48121485792381,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-05-23 14:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,GUADALUPE TEPEYAC,-99.12096219753941,19.46697483661,697,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-05-26 13:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CAPULTITLAN,-99.134198037852,19.4757565358491,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-05-26 13:50:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,25 DE JULIO,-99.0789363468839,19.4960986042298,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-05-21 02:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CUAUTEPEC DE MADERO,-99.1367310835411,19.5504176464498,145,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-06-05 07:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.11637898514459,19.4822840264261,689,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-26 14:14:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LINDAVISTA,-99.1345325023822,19.4914034120791,517,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-26 21:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SANTIAGO ATZACOALCO,-99.09927308390448,19.493506154917604,587,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-09-30 08:55:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,MAGDALENA DE LAS SALINAS,-99.13457213653092,19.4850125976224,305,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-27 22:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,RESIDENCIAL ACUEDUCTO DE GUADALUPE,-99.1516774990839,19.5285094338543,172,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-09-29 14:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,VALLEJO,-99.12544162243759,19.4673786809268,648,Rojo
